name,id,revenue
A Farewell to Kings Entertainment Company,1.0,0.0
A Film Monkey Production,2.0,0.0
A Grand Elephant,2.0,10337387.0
A Happy Place,1.0,0.0
A Hot Dog,1.0,24159934.0
A Loopy Production LLC,1.0,150277.0
A Lucky Old Sun Production,1.0,0.0
A Major Films,1.0,0.0
A Million Monkeys,1.0,0.0
A Plus Image,2.0,64867093.0
A Plus Image 2,1.0,10759.0
A Plus Image 4,1.0,0.0
A Plus Image 5,1.0,248392.0
A Plus Image 6,1.0,0.0
A Private View,5.0,0.0
A Ronald Neame Production,1.0,0.0
A Small Production Company,1.0,0.0
A Space Between,1.0,0.0
A Team Productions,1.0,0.0
A Ticklish Tale,1.0,0.0
A%26E IndieFilms,1.0,0.0
A&B Producoes,1.0,109423648.0
A&E Home Entertainment,1.0,0.0
A&E IndieFilms,4.0,0.0
A&E Networks,2.0,0.0
A&E Television Networks,9.0,351040419.0
A&F Productions,1.0,0.0
A&M Films,9.0,68083268.0
A&M Sound Pictures,1.0,0.0
A+E Studios,5.0,0.0
A-1 Kino Video,2.0,8910819.0
A-1 Pictures,5.0,0.0
A-Film Distribution,1.0,0.0
A-Film Home Entertainment,1.0,0.0
A-Line Pictures,1.0,49084830.0
A-Mark Entertainment,7.0,15309302.0
A-Pix Entertainment,4.0,0.0
A-Team,3.0,31755742.0
A. C. I. Films,1.0,0.0
A. Film,5.0,0.0
A. Ninety-Three Productions,1.0,0.0
A.C. Lyles Productions,1.0,0.0
A.C.E.,1.0,0.0
A.D.I. Inc.,1.0,0.0
A.E. Media Corporation,1.0,0.0
A.F. Cinema e Vídeo,1.0,3.0
A.G. Films,2.0,36500000.0
A.I.P. Productions,1.0,0.0
A.J. Films,2.0,0.0
A.J.O.Z. Films,5.0,71462171.0
A.L. Production,1.0,0.0
A.M. Trading International S.r.l.,1.0,0.0
A.M.A. Film,5.0,5932791.0
A.M.S. Productions,1.0,0.0
A.N.P.A. (Agence Nationale de Promotion de l'Audiovisuel),1.0,0.0
A.P.E.C.,1.0,0.0
A.P.P.P.,1.0,0.0
A.S. Films,3.0,342183.0
A.T.P.I.P. Producciones,1.0,0.0
A.U.M. Films,1.0,0.0
A.V.H. San Luis,1.0,0.0
A113,1.0,209154322.0
A2 Entertainment Group,1.0,7306.0
A24,42.0,246822978.0
A71 Productions,2.0,0.0
AA Film Prodüksiyon,1.0,0.0
AAA Productions,1.0,0.0
AAC Kids,1.0,0.0
AAMPI Inc.,1.0,0.0
AAR Films,1.0,0.0
AARU Productions,2.0,0.0
AB Europa Film,1.0,0.0
AB Film-Teknik,1.0,0.0
AB Films,1.0,0.0
AB Publikfilm,1.0,0.0
AB Ri-Film,1.0,0.0
AB Svensk Filmindustri,1.0,0.0
AB Svenska Ord,2.0,0.0
AB Video Solutions,1.0,0.0
AB-PT Pictures Corp.,2.0,0.0
AB3,1.0,0.0
ABC Circle Films,12.0,0.0
ABC Entertainment,2.0,0.0
ABC Family,6.0,0.0
ABC Film A/S,1.0,0.0
ABC Motion Pictures,3.0,40386599.0
ABC News,1.0,0.0
ABC Pictures,10.0,44445393.0
ABC Pictures International,1.0,0.0
ABC Productions,4.0,0.0
ABC Studios,2.0,0.0
ABC TV,1.0,0.0
ABC Video Enterprises,1.0,0.0
ABKCO Music and Records,1.0,0.0
ABS-CBN Film Productions,6.0,466092.0
ACCI,1.0,0.0
ACH,3.0,0.0
ACTR Productions,1.0,0.0
AD406,1.0,0.0
ADC Films,3.0,0.0
ADCB Films,3.0,0.0
ADF Acquisitions,1.0,10501938.0
ADF Studios,1.0,0.0
ADHM Films,1.0,0.0
ADPProductions,1.0,0.0
ADR Productions,5.0,0.0
ADV Films,4.0,0.0
AE Electra Productions,1.0,19258519.0
AE Two Film Productions,1.0,29700000.0
AEC,1.0,0.0
AFC,4.0,0.0
AFG Talons Productions,1.0,76932943.0
AFS Film,1.0,15530077.0
AG Productions,1.0,0.0
AGGK Films,1.0,0.0
AGI Entertainment,1.0,0.0
AGS Entertainment,4.0,0.0
AI-Film,3.0,69410642.0
AIC,3.0,0.0
AJBA Productions,1.0,0.0
AJYM-Films,1.0,0.0
AKN Productions,1.0,0.0
ALEF Film & Media Group,1.0,0.0
ALT Entertainment,3.0,0.0
AM Associates,1.0,25000000.0
AM/PM Entertainment,1.0,0.0
AMBI Group,2.0,0.0
AMBL Productions,1.0,0.0
AMC Pictures,2.0,0.0
AMJ Productions,1.0,0.0
AMKO Productions Inc.,1.0,0.0
AMLF,14.0,18862083.0
AMV Production,1.0,0.0
ANA Media,3.0,3665069.0
"ANCINE/Ministério da Cultura, Fundo Setorial do Audiovisual",1.0,0.0
ANFRI S.r.l.,1.0,0.0
ANG Film,1.0,0.0
ANIMAL DE LUZ FILMS,1.0,0.0
ANIMATE,1.0,0.0
ANOC Productions,1.0,0.0
ANS Production,1.0,0.0
ANTORCHA FILMS,1.0,0.0
AOG Films,1.0,0.0
APJAC Productions,7.0,83444049.0
APT Entertainment,1.0,34659.0
APT Films,2.0,0.0
APTN,1.0,0.0
AR Films,4.0,54430613.0
AR-TL,1.0,170268750.0
ARD,6.0,0.0
ARD Degeto Film,14.0,233490587.0
ARD/Degeto Film GmbH,7.0,0.0
ARK-Film,1.0,809000.0
ARM Entertainment,1.0,0.0
ARMS,1.0,0.0
ARO Entertainment,4.0,0.0
ARP Sélection,14.0,84628493.0
ARRI Film & TV Services,2.0,0.0
ARS Film Production,2.0,0.0
ARTE,37.0,28287479.0
ARTE F,1.0,0.0
ARTE France Cinéma,21.0,1736248.0
ARTMIC Studios,1.0,0.0
ARY Films,1.0,645135.0
AS Productions,3.0,0.0
ASA,2.0,0.0
ASA Film,1.0,0.0
ASA Film Produktion ApS,1.0,0.0
ASA Film Pvt Ltd,1.0,0.0
ASA Productions and Enterprises Pvt. Ltd,1.0,0.0
ASAF,1.0,72436439.0
ASC Audiovisual,1.0,0.0
ASIG Productions,1.0,25312387.0
ASK Eurofilm,1.0,0.0
ASK Kodansha,1.0,0.0
ASPD Films,1.0,0.0
ASQA Film Partnership,1.0,0.0
AST Studios,1.0,0.0
ASTON FILM,1.0,0.0
AT&T,2.0,0.0
AT-Production,1.0,0.0
AT-X,1.0,0.0
ATC 3000,1.0,0.0
ATC Entretenimento,1.0,0.0
ATG Productions,1.0,0.0
ATKO Films,1.0,0.0
ATM Grupa S.A.,1.0,0.0
ATM Motionwide,1.0,0.0
ATO Pictures,4.0,5706903.0
ATR Films,1.0,6614280.0
"AV Club, The",1.0,0.0
AV Films,1.0,0.0
AV Pictures,2.0,0.0
AVCO Embassy Pictures,19.0,153849767.0
AVEK,1.0,0.0
AVM Productions,3.0,38458709.0
AVRO Television,2.0,0.0
AXN,4.0,850259.0
AZ Celtic Films,2.0,1113277.0
AZ Film Studios,1.0,0.0
AZ Films,1.0,939101.0
AZL Productions KG,1.0,105178561.0
Aaargh! Animation,1.0,0.0
Aamir Khan Productions,5.0,346530000.0
Aamu Filmcompany,2.0,0.0
Aardman Animations,13.0,659785073.0
Aardvark Films,2.0,0.0
Aaron Angela Company,1.0,0.0
Aaron Russo Productions,2.0,3169719.0
Aaron Spelling Productions,3.0,64783827.0
Aascar Films,3.0,59500000.0
Aashirvad Cinemas,3.0,14250547.0
Abaca Films,1.0,0.0
Abandon Entertainment,1.0,85416905.0
Abandon Pictures,5.0,643557.0
Abba Movies Co. Ltd.,1.0,0.0
Abbas Kiarostami Productions,4.0,105656.0
Abbasi Bros.,1.0,0.0
Abbolita Productions,3.0,353725.0
Abbott Vision,1.0,0.0
Abduction Films,1.0,0.0
Abe Shuji,1.0,11212294.0
Aberration Films,2.0,0.0
Abhijatrik,1.0,0.0
Abilene,1.0,0.0
Abominable Pictures,1.0,0.0
Aboretum Productions,1.0,0.0
Above All Things Inc,1.0,176153.0
Above the Line Productions [ph],1.0,0.0
Abra Films,1.0,0.0
Abra Producciones,2.0,0.0
Abraham Productions,1.0,112265139.0
Abramoff Production,1.0,4192440.0
Abraxas,1.0,0.0
Abraxas Film,1.0,0.0
Absolute Entertainment,1.0,3669465.0
Absolute Entertainment (II),1.0,0.0
Absurda,2.0,849055.0
Abtcon Pictures,1.0,0.0
Abu Dhabi Film Commission,1.0,1506249360.0
Abyssa Films,1.0,28.0
Acaba Produzioni,1.0,1700000.0
Acacia Filmed Entertainment,1.0,184770205.0
Academy,1.0,0.0
Academy Film,1.0,374743.0
Academy Films,1.0,0.0
Academy Photoplays,1.0,0.0
Academy Pictures,2.0,0.0
Academy Pictures Corporation,3.0,0.0
Academy Productions,1.0,0.0
Academy of Television Arts & Sciences,1.0,0.0
Académie Franco-Russe du Cinéma,1.0,0.0
Acajou Films,3.0,0.0
Acamedia Pictures,1.0,0.0
Accelerated Matter,1.0,0.0
Accelerator Films,1.0,0.0
Accent Entertainment Corporation,1.0,0.0
Accent Films,1.0,1641825.0
Accent Films B.V.,1.0,0.0
Access Films,1.0,46118097.0
Access Motion Picture Group,1.0,0.0
Access Motion Pictures,3.0,693181.0
Access Pictures,1.0,0.0
Accomplice Films,2.0,0.0
Accord Productions,1.0,0.0
"Accusatory Productions Inc.,",1.0,0.0
Ace Deuce Entertainment,2.0,0.0
Ace Editing,1.0,0.0
Ace Film Company,1.0,0.0
Ace Productions,2.0,0.0
Achab Film,1.0,1081.0
Achaman Films AIE,1.0,0.0
Acheron Films,1.0,0.0
Achille Piazzi Produzioni Cinematografica,1.0,0.0
Achilles,1.0,0.0
Acht Frankfurt,1.0,0.0
Achte Babelsberg Film,2.0,200276000.0
Achterbahn AG,2.0,0.0
Acid Bath Productions,1.0,0.0
Acme Date,1.0,0.0
Acme Films Ltd.,1.0,0.0
Acme Shark,1.0,0.0
Acne Film,2.0,0.0
Acolyte Films,1.0,0.0
Aconit Pictures,1.0,0.0
Acorn Pictures,1.0,0.0
Acre Enterprises,1.0,0.0
Acrobat Productions,2.0,0.0
Acrobatic Motion Works West,1.0,0.0
Acrolight Pictures,1.0,0.0
Across Town Productions,1.0,0.0
Across the River Productions,1.0,44862187.0
Act III,1.0,52287414.0
Act III Communications,4.0,83145228.0
Acteurs Auteurs Associés (AAA),3.0,0.0
Action 27,1.0,0.0
Action 5,1.0,0.0
Action Concept Film- und Stuntproduktion,2.0,0.0
Action Concept cinema,1.0,0.0
Action Concept cinema & company,1.0,0.0
Action Features,1.0,0.0
Action Films,7.0,0.0
Action House,1.0,0.0
Action Images,1.0,0.0
Action International Pictures,2.0,0.0
Action concept &fims,1.0,0.0
Actionhouse,1.0,0.0
Actionhouse Pictures,1.0,0.0
Actium Pictures,1.0,0.0
Active Entertainment,10.0,0.0
Actober Films,1.0,0.0
ActorieDeFilm,2.0,0.0
Actual Films,2.0,0.0
Acuarius Films,1.0,0.0
Acuarius Films S.A.,1.0,680224.0
Ad Hoc Productions,1.0,1137421.0
Ad Hominem Enterprises,5.0,184758238.0
Ad Vitam Production,4.0,0.0
Ad Vitim Distribution,1.0,65460.0
Ad hoc Studios,2.0,939101.0
Ad'Hoc Productions,1.0,0.0
AdScott Pictures,1.0,1243961.0
Ada Films,3.0,3200000.0
Adam & Eve Productions,1.0,0.0
Adam Fields Productions,3.0,18370522.0
Adam Packer Film Productions,1.0,0.0
Adam Productions,1.0,0.0
Adam Schroeder Productions,1.0,145000000.0
Adama Pictures,1.0,0.0
Adams Apple Film Company,2.0,7496681.0
Adaptive Studios,1.0,0.0
Add Word Productions,1.0,0.0
Adder,2.0,0.0
Addict Films,1.0,0.0
Addicted Productions,1.0,0.0
Addis Wechsler Pictures,4.0,21706101.0
Adel Films,1.0,0.0
Adel Productions,6.0,3.0
Adela Pictures,1.0,0.0
Adelaide Film Festival,2.0,300000.0
Adelaide Motion Picture Company,1.0,0.0
Adelante Films,1.0,0.0
Adelphia Compagnia Cinematografica,1.0,0.0
Adelson Entertainment,1.0,0.0
Adelstein-Parouse Productions,1.0,0.0
Aden Film,1.0,0.0
Adi Shankar Production,1.0,0.0
Adicta Films,1.0,0.0
Adirondack Pictures,1.0,0.0
Adivina Producciones S.L.,1.0,0.0
Adlabs Films Ltd.,3.0,0.0
