id,original_language,spoken_languages
168,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fi', 'name': 'suomi'}]"
364,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11967,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9086,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
621,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9037,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8845,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
578,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
579,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17692,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
4232,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
34314,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9404,cn,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'uk', 'name': 'Український'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
14908,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11419,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10003,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
11844,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
6499,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9360,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
816,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
49478,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
1811,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
330,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
33660,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1639,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
415,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17991,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
607,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
9387,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10603,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
20737,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18519,en,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
4961,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
1669,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
9437,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
10351,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
3597,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1281,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
563,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9823,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8078,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
42832,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
9714,en,"[{'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'en', 'name': 'English'}]"
4233,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
714,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
9922,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
32302,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
9033,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
11568,en,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]"
11808,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
617,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17644,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27472,en,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
10216,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9771,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
37410,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10674,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
846,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
3050,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
944,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
1051,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
1366,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10014,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10072,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10131,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10160,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11284,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
4488,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9725,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9728,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9730,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
9731,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10225,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10281,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
