id_x,name,id_pelicula
306,Twentieth Century Fox Film Corporation,15171
19747,Brandywine Productions,11704
33,Universal Pictures,4978
467,Renaissance Pictures,10380
8411,Metro-Goldwyn-Mayer (MGM),11415
10308,Dino De Laurentiis Company,37530
4,Paramount Pictures,8393
33,Universal Pictures,11937
10717,Shamley Productions,21661
33,Universal Pictures,39930
4,Paramount Pictures,10692
536,The Coppola Company,805
297,Aardman Animations,34584
33,Universal Pictures,34636
41,Orion Pictures,2182
1280,Pacific Western,36647
3952,Hemdale Film,431
4764,Cinema 84,2109
7745,Euro Film Funding,9877
4,Paramount Pictures,1091
6226,Penthouse,4437
10208,Long Road Productions,11932
3102,Renaissance Films,9945
47380,Rosebud Productions,4518
33,Universal Pictures,3600
56,Amblin Entertainment,12223
20448,U-Drive Productions,14444
2737,Davis-Panzer Productions,1678
6179,Thorn EMI Screen Entertainment,39256
2,Walt Disney Pictures,1680
16644,IRE Productions,244
16645,Santa Fe Institute for Regional Education,10730
1,Lucasfilm,31947
4,Paramount Pictures,9749
306,Twentieth Century Fox Film Corporation,14628
19747,Brandywine Productions,9626
35872,Steve White Productions,707
84937,VPS Studios,9336
484,De Laurentiis Entertainment Group (DEG),10157
5333,Zeta Entertainment,12118
25690,Promark Entertainment Group,10587
28277,Spectacor Films,11825
36394,A. Ninety-Three Productions,11895
10308,Dino De Laurentiis Company,9447
75480,Media Transactions,200
9266,American International Pictures (AIP),1369
4899,Allegro Films,1368
17799,CFCF-TV,1370
4,Paramount Pictures,10303
2548,Tonylyn Productions,9326
33,Universal Pictures,10328
278,Propaganda Films,11285
559,TriStar Pictures,1367
1382,PolyGram Filmed Entertainment,1371
60,United Artists,1374
12,New Line Cinema,1375
1531,Smart Egg Pictures,1885
306,Twentieth Century Fox Film Corporation,8856
2767,Mace Neufeld Productions,10495
123,Trust Film,5825
125,Danish Film Institute,6917
4,Paramount Pictures,40729
76068,Digital Image Associates,11815
306,Twentieth Century Fox Film Corporation,9426
436,1492 Pictures,10344
2,Walt Disney Pictures,30497
2173,Great Oaks Entertainment,16337
306,Twentieth Century Fox Film Corporation,25018
1073,Gordon Company,16780
1885,Silver Pictures,9671
4,Paramount Pictures,9396
4,Paramount Pictures,11873
4,Paramount Pictures,8224
4,Paramount Pictures,8913
4,Paramount Pictures,10906
4,Paramount Pictures,25748
1382,PolyGram Filmed Entertainment,25749
6194,Warner Bros.,10671
306,Twentieth Century Fox Film Corporation,27932
10210,Morgan Creek Productions,7227
10210,Morgan Creek Productions,33518
4,Paramount Pictures,2362
3978,Robert Stigwood Organization (RSO),871
4,Paramount Pictures,1685
508,Regency Enterprises,1705
644,Alcor Films,1688
5358,Canal+,1687
6194,Warner Bros.,29723
33,Universal Pictures,31638
1865,Zanuck/Brown Productions,9535
33,Universal Pictures,796
33,Universal Pictures,7341
4904,Alan Landsburg Productions,603
79415,MCA  Theatricals,564
979,Woods Entertainment,9460
7405,Dimension Films,1893
8411,Metro-Goldwyn-Mayer (MGM),15849
11661,Rysher Entertainment,18990
2521,Golden Harvest Company,29242
33,Universal Pictures,29243
27128,The Bubble Factory,31498
38664,Sheinberg Productions,29239
2596,Jerry Weintraub Productions,1924
6194,Warner Bros.,8536
4,Paramount Pictures,9531
2767,Mace Neufeld Productions,11411
11661,Rysher Entertainment,138
43,Fox Searchlight Pictures,30793
306,Twentieth Century Fox Film Corporation,3103
2106,Saban Entertainment,3035
9255,Toei Company,3077
441,Columbia Pictures Corporation,3074
3803,Middle Fork Productions,3076
11134,Iguana Producciones,3079
16387,Skylight Cinema Foto Art,32023
55532,St. Tropez Films,13666
55533,Cinema Line Film Corporation,29794
12,New Line Cinema,36685
594,Capella International,17918
595,Eric's Boy,817
2269,China Film Co-Production Corporation,37135
8411,Metro-Goldwyn-Mayer (MGM),2105
38662,Law Brothers Entertainment,10239
38663,IJL Creations,10208
1474,Desperate Pictures,2667
1475,UGC Images,9825
33,Universal Pictures,620
56,Amblin Entertainment,2978
5330,Bruin Grip Services,332
5331,Good Dog Productions LLC,147
5332,Utopia Pictures,9710
5333,Zeta Entertainment,10766
306,Twentieth Century Fox Film Corporation,10768
35304,Blue Tulip Productions,813
1382,PolyGram Filmed Entertainment,2665
6194,Warner Bros.,11418
56,Amblin Entertainment,11153
441,Columbia Pictures Corporation,11077
49325,Parkes+MacDonald Image Nation,28597
33,Universal Pictures,850
10308,Dino De Laurentiis Company,10366
2,Walt Disney Pictures,9349
10227,Mandeville Films,11037
2,Walt Disney Pictures,11955
508,Regency Enterprises,2038
5739,Donner/Shuler-Donner Productions,28737
6194,Warner Bros.,91893
14,Miramax Films,11601
7405,Dimension Films,11797
4,Paramount Pictures,18086
1693,Nina Saxon Film Design,10975
2767,Mace Neufeld Productions,10974
4,Paramount Pictures,9638
11661,Rysher Entertainment,10576
285,Live Entertainment,12662
21084,Image Organization,11230
24075,Pierre David,1654
441,Columbia Pictures Corporation,658
1236,Mandalay Entertainment,657
1464,Summer Knowledge LLC,646
686,Tiger Aspect Productions,5689
1382,PolyGram Filmed Entertainment,391
10163,Working Title Films,772
559,TriStar Pictures,65448
9195,Touchstone Pictures,65452
23434,Big Bug Pictures,29064
12,New Line Cinema,10496
4174,Threshold Entertainment,16162
306,Twentieth Century Fox Film Corporation,15247
19747,Brandywine Productions,29251
7320,Telefilm Canada,5548
10260,Melenny Productions,5549
11578,Super Écran,699
13304,Gouvernement Canadien,709
13305,Fonds de télévision et de câblodistribution pour la production d'émissions canadiennes,253
13306,Gouvernement du Québec,660
306,Twentieth Century Fox Film Corporation,11377
477,Hughes Entertainment,18111
14,Miramax Films,16281
85,Konrad Pictures,16288
1601,Maven Entertainment,1694
7405,Dimension Films,24831
7576,Eon Productions,37853
335,Tig Productions,14035
6194,Warner Bros.,40771
559,TriStar Pictures,40772
27084,Leeds/Ben-Ami Productions,40773
27085,Sheen Productions,10228
33,Universal Pictures,11663
824,Kopelson Entertainment,9264
6194,Warner Bros.,18222
1236,Mandalay Entertainment,20565
1382,PolyGram Filmed Entertainment,36643
91005,Lyrick Studios,863
4,Paramount Pictures,32669
8411,Metro-Goldwyn-Mayer (MGM),10402
6194,Warner Bros.,25188
10210,Morgan Creek Productions,15515
1596,Shooting Gallery,10137
37909,True Fiction Pictures,49948
2,Walt Disney Pictures,10471
10217,Walt Disney Feature Animation,14919
306,Twentieth Century Fox Film Corporation,2005
545,Ten Thirteen Productions,6279
306,Twentieth Century Fox Film Corporation,8872
1301,Joseph M. Singer Entertainment,8873
1302,Davis Entertainment,9869
1885,Silver Pictures,9367
5739,Donner/Shuler-Donner Productions,16562
6194,Warner Bros.,4234
306,Twentieth Century Fox Film Corporation,9605
646,D'Antoni Productions,8374
73950,Schine-Moore Productions,25934
60,United Artists,2787
12,New Line Cinema,2069
1531,Smart Egg Pictures,10839
12,New Line Cinema,838
1531,Smart Egg Pictures,11176
12,New Line Cinema,11899
12,New Line Cinema,9532
12,New Line Cinema,13939
4,Paramount Pictures,14373
16779,Georgetown Productions Inc.,24873
17611,Sean S. Cunningham Films,26263
4,Paramount Pictures,34746
7512,"Georgetown Productions, Inc.",1498
4,Paramount Pictures,1497
7513,Jason Productions,1499
4,Paramount Pictures,11690
93280,"Friday Four, Inc.",11520
4,Paramount Pictures,990
16779,Georgetown Productions Inc.,11478
4,Paramount Pictures,11356
4,Paramount Pictures,17339
4,Paramount Pictures,26879
17611,Sean S. Cunningham Films,13665
62948,Horror Inc.,12309
14323,Compass International Pictures,106
22814,Falcon International Productions,1359
33,Universal Pictures,10557
33,Universal Pictures,11977
7405,Dimension Films,9456
4351,Trans Pacific Films,889
542,Guardian Trust Company,452
15059,Simcom Limited,39283
15060,Prom Night Productions,65460
15059,Simcom Limited,55667
15493,Allarcom Limited,12476
15494,British Columbia Television,16395
21287,CFCN Communications,5608
21288,TBA Film,10560
16953,Norstar Entertainment,5683
36555,Famous Players,14906
61660,Comweb Productions,9285
16953,Norstar Entertainment,955
60,United Artists,8584
33,Universal Pictures,668
33,Universal Pictures,691
396,SLM Production Group,698
8411,Metro-Goldwyn-Mayer (MGM),682
8411,Metro-Goldwyn-Mayer (MGM),9600
8411,Metro-Goldwyn-Mayer (MGM),21
6194,Warner Bros.,10911
48184,Hoya Productions,26912
6194,Warner Bros.,26278
10210,Morgan Creek Productions,26953
1885,Silver Pictures,26954
6194,Warner Bros.,26956
1885,Silver Pictures,26957
6194,Warner Bros.,26958
1885,Silver Pictures,26959
6194,Warner Bros.,26960
56,Amblin Entertainment,23069
6194,Warner Bros.,21299
56,Amblin Entertainment,38802
6194,Warner Bros.,21137
56,Amblin Entertainment,36724
559,TriStar Pictures,938
33,Universal Pictures,10648
56,Amblin Entertainment,10246
20448,U-Drive Productions,19698
33,Universal Pictures,23919
56,Amblin Entertainment,26554
20448,U-Drive Productions,15239
306,Twentieth Century Fox Film Corporation,28165
10281,Kent Productions,28169
3166,Walt Disney Productions,169
3166,Walt Disney Productions,10128
3166,Walt Disney Productions,9659
4,Paramount Pictures,8810
2,Walt Disney Pictures,9355
5888,Walt Disney,10068
3166,Walt Disney Productions,11495
3166,Walt Disney Productions,482
2,Walt Disney Pictures,479
8830,Touchwood Pacific Partners 1,9873
32,Buena Vista,16820
2,Walt Disney Pictures,15379
3166,Walt Disney Productions,12764
2,Walt Disney Pictures,27352
10282,Silver Screen Partners IV,17897
5888,Walt Disney,16094
2,Walt Disney Pictures,16096
6254,"Jim Henson Company, The",11822
3166,Walt Disney Productions,494
6,RKO Radio Pictures,493
3166,Walt Disney Productions,4247
2,Walt Disney Pictures,36657
10217,Walt Disney Feature Animation,12599
10282,Silver Screen Partners IV,11940
3166,Walt Disney Productions,12107
3475,Walt Disney Television Animation,9383
3166,Walt Disney Productions,15158
5888,Walt Disney,16139
9195,Touchstone Pictures,16146
2,Walt Disney Pictures,26515
558,Lisberger/Kushner,13567
7405,Dimension Films,20850
1,Lucasfilm,8843
4,Paramount Pictures,10643
60,United Artists,37136
286,Fantasy Films,37137
2159,Hal Roach Studios,11398
5093,Cinema Group,1588
6562,Planet Productions,12211
12591,Angeles Entertainment Group,1698
12592,Inverness Productions,12212
52197,Gatlin,16
60,United Artists,9003
500,Goldcrest Films International,9064
6422,Sullivan Bluth Studios,11569
4,Paramount Pictures,26484
41,Orion Pictures,39113
258,Scott Rudin Productions,38126
4,Paramount Pictures,53617
1353,Hanna-Barbera Productions,10973
18170,Sagittarius Productions,10787
60,United Artists,27475
32178,Aurora,27764
90400,Mrs. Brisby Ltd.,27767
90512,Don Bluth Productions,40760
33,Universal Pictures,40446
56,Amblin Entertainment,20455
33,Universal Pictures,1597
56,Amblin Entertainment,21142
4105,Amblimation,78140
1950,New World Pictures,18498
1950,New World Pictures,28605
17611,Sean S. Cunningham Films,12207
22284,CAT Films,11531
22285,Mimosa Films,4327
6313,Weintraub Entertainment Group,681
23267,Elrina Investment,16340
7405,Dimension Films,10481
11506,Maljack Productions,146
4,Paramount Pictures,11849
10324,William Castle Productions,708
1256,Producers Sales Organization,10673
1704,Bavaria Film,11688
1766,Dieter Geissler Filmproduktion,1493
6194,Warner Bros.,10577
7025,Westdeutscher Rundfunk (WDR),15739
33772,Bavaria Studios,9816
1704,Bavaria Film,96
1766,Dieter Geissler Filmproduktion,90
1979,Cinevox Filmproduktion GmbH,19933
6194,Warner Bros.,18935
989,Four Square Productions,764
12,New Line Cinema,580
421,Amen Ra Films,1547
11321,Imaginary Forces,10019
19551,Marvel Enterprises,37302
806,Téléfilm Canada,843
21953,Feature Film Project,9740
22207,Cube Libre,19405
22208,Harold Greenberg Fund,43332
22209,Odeon Films,17965
22210,Ontario Film Development Corporation,11454
22211,Viacom Canada,14052
12,New Line Cinema,16889
333,Original Film,23730
559,TriStar Pictures,10054
11317,Phoenix Pictures,2043
53473,Canal+ Droits Audiovisuels,56715
33,Universal Pictures,10991
662,Turman-Foster Company,634
8411,Metro-Goldwyn-Mayer (MGM),10956
33,Universal Pictures,9290
5550,Midwinter Productions Inc.,1734
5,Columbia Pictures,808
1644,Largo Entertainment,1406
4248,JVC Entertainment Networks,41050
23893,Film Office,966
23894,Spooky Tooth Productions,12639
23895,Storm King Productions,10865
181,Channel Four Films,1995
1382,PolyGram Filmed Entertainment,10808
10163,Working Title Films,9799
5,Columbia Pictures,60670
1236,Mandalay Entertainment,10992
1464,Summer Knowledge LLC,4248
2380,Palomar Pictures,26483
36638,Fadsin Cinema Associates,24382
4,Paramount Pictures,11286
2348,Nickelodeon Movies,11950
59150,Klasky-Csupo,12236
622,Toho Film (Eiga) Co. Ltd.,26573
1950,New World Pictures,20075
882,Toho Company,20197
46976,RKO General Pictures,11906
6,RKO Radio Pictures,2114
4,Paramount Pictures,8835
10308,Dino De Laurentiis Company,26044
484,De Laurentiis Entertainment Group (DEG),30502
33,Universal Pictures,18509
33,Universal Pictures,3980
8818,Vincent Pictures,10127
3418,Famous Films (II),12702
8411,Metro-Goldwyn-Mayer (MGM),10651
10308,Dino De Laurentiis Company,5680
7576,Eon Productions,26386
6194,Warner Bros.,38500
7965,The Ladd Company,12144
6194,Warner Bros.,24929
7965,The Ladd Company,10925
6194,Warner Bros.,13965
69583,Police Academy Productions,24266
6194,Warner Bros.,11966
6194,Warner Bros.,2605
6194,Warner Bros.,41428
2537,Kennedy Miller Productions,29095
4,Paramount Pictures,12500
559,TriStar Pictures,25678
14723,Carolco Pictures,25682
41,Orion Pictures,32049
559,TriStar Pictures,1648
14723,Carolco Pictures,53150
306,Twentieth Century Fox Film Corporation,10134
396,SLM Production Group,15142
3470,Stone Group Pictures,25005
306,Twentieth Century Fox Film Corporation,21721
396,SLM Production Group,10345
1693,Nina Saxon Film Design,10222
81127,El Corazon Producciones S.A.,9494
306,Twentieth Century Fox Film Corporation,9942
396,SLM Production Group,331
1865,Zanuck/Brown Productions,19142
306,Twentieth Century Fox Film Corporation,41946
1865,Zanuck/Brown Productions,10135
60,United Artists,30666
60,United Artists,25155
60,United Artists,11342
60,United Artists,24126
441,Columbia Pictures Corporation,8494
2596,Jerry Weintraub Productions,27813
4267,Delphi Films,9880
441,Columbia Pictures Corporation,5175
1174,Delphi V Productions,4484
441,Columbia Pictures Corporation,11684
57092,Weintraub International Group,17169
477,Hughes Entertainment,2770
6194,Warner Bros.,8922
4535,Vista Organization,16314
10165,New Century Entertainment Corporation,18885
10166,Alliance Entertainment,40508
