id_pelicula,department,id_y,job,name
24452,Directing,12833,Director,Edward Burns
23599,Directing,865,Director,Michael Bay
102489,Directing,56828,Director,Christopher Cain
126996,Directing,65390,Director,Scott Kalvert
29074,Directing,1467080,Script Supervisor,Lisa Katcher
10552,Directing,10723,Director,Mike Newell
39780,Directing,1338245,Script Supervisor,Laerke Sigfred Pedersen
11037,Directing,91343,Director,Hal Hartley
18621,Directing,6159,Director,Ron Howard
704,Directing,13930,Assistant Director,Bruce Moriarty
24071,Directing,1393455,Script Supervisor,Eva Z. Cabrera
2731,Directing,30365,Director,Michael Caton-Jones
772,Directing,39104,Director,Abel Ferrara
550,Directing,5572,Director,Joel Schumacher
14484,Directing,35664,First Assistant Director,William M. Elvin
11663,Directing,793,Director,Luis Buñuel
27141,Directing,1319688,Assistant Director,Pierre Lary
36643,Directing,1656603,Script Supervisor,Suzanne Durrenberger
99,Directing,19665,Director,John Boorman
11393,Directing,46391,Director,Paul Auster
293,Directing,39819,Director,Wayne Wang
22267,Directing,17087,Director,Michael Moore
9684,Directing,11887,Director,Brad Silberling
35118,Directing,119310,Script Supervisor,Annette Haywood-Carter
42739,Directing,1341865,Script Supervisor,Ana Maria Quintana
26162,Directing,5281,Director,Spike Lee
2277,Directing,664,Director,Frank Marshall
46435,Directing,893,Director,Tony Scott
10400,Directing,1422074,Script Supervisor,P.R. Tooke
11851,Directing,17447,Director,Terry Zwigoff
16241,Directing,2294,Director,Robert Rodriguez
14919,Directing,1429253,Script Supervisor,Robin Anderson
79474,Directing,21712,Director,Carl Franklin
299121,Directing,1090,Director,John McTiernan
113096,Directing,19224,Director,Gregg Araki
96484,Directing,68774,Director,Christopher Menaul
291861,Directing,1836623,Script Supervisor,Vicky Harrison
33374,Directing,3415,Director,Jerry Zucker
20423,Directing,56998,Director,Dwight H. Little
36489,Directing,1978,Director,Iain Softley
838,Directing,1394104,Script Supervisor,Diana Dill
68427,Directing,252806,Director,Christopher Ashley
820,Directing,59997,Director,Robert Longo
32031,Directing,33279,Director,Danny Cannon
78231,Directing,58316,Director,John Fortenberry
925,Directing,51917,Director,Larry Clark
14373,Directing,6400,Director,Tom DiCillo
24873,Directing,31211,Director,Clive Barker
103960,Directing,38516,Director,Denys Arcand
36652,Directing,42617,Director,Antonia Bird
37722,Directing,19303,Director,Kevin Smith
840,Directing,42111,Director,Bryan Spicer
25673,Directing,44847,Director,David Anspaugh
16620,Directing,58384,Director,Anthony Waller
31624,Directing,54469,Director,Michael Almereyda
1700,Directing,1521769,Script Supervisor,Dina Waxman
593,Directing,11472,Director,Irwin Winkler
2006,Directing,10965,Director,Chris Columbus
19214,Directing,1480099,Script Supervisor,Carol DePasquale
16347,Directing,56714,Director,Daisy von Scherler Mayer
125537,Directing,28902,Director,Gregory Widen
65460,Directing,26487,Director,Norman René
16395,Directing,1399481,Script Supervisor,Wendy Lee Roberts
5608,Directing,16863,Director,Todd Haynes
10688,Directing,8965,Director,Roland Joffé
14906,Directing,10491,Director,Paul Verhoeven
98502,Directing,39819,Director,Wayne Wang
21484,Directing,46391,Director,Paul Auster
5483,Directing,5306,Director,Lasse Hallström
682,Directing,21370,Director,Roger Donaldson
24920,Directing,3973,Assistant Director,Mark Egerton
985,Directing,408,Director,James Keach
2075,Directing,14392,Director,Kathryn Bigelow
28169,Directing,24882,Director,Jacques Demy
1727,Directing,17880,Director,Wesley Strick
12611,Directing,587969,Script Supervisor,Thomas Johnston
14328,Directing,63713,Director,Martha Coolidge
5121,Directing,1128,Director,Agnieszka Holland
25636,Directing,20237,Director,Beeban Kidron
117026,Directing,992965,Script Supervisor,Mary Cybulski
9873,Directing,32277,Director,Geoff Murphy
4244,Directing,3092,Director,Diane Keaton
4247,Directing,588623,Director,Douglas Keeve
20770,Directing,22767,Director,Alfonso Aráu
16110,Directing,1377239,Script Supervisor,Wilma Garscadden-Gahret
12107,Directing,1493077,Script Supervisor,Ingrid Urich-Sass
170767,Directing,8300,Director,Kevin Reynolds
43109,Directing,62543,First Assistant Director,Alan B. Curtiss
43230,Directing,1341865,Script Supervisor,Ana Maria Quintana
42797,Directing,73494,Director,Desmond Nakano
27033,Directing,1723,Director,Walter Hill
71,Directing,6111,Director,Mike Figgis
19204,Directing,17309,Director,Greg Beeman
10783,Directing,82796,Director,Nikita Mikhalkov
10876,Directing,1584749,Assistant Director,Vladimir Krasinsky
21355,Directing,1364800,Director,Milčo Mančevski
15413,Directing,1537556,Assistant Director,Vanja Aljinovic
2623,Directing,1537557,Assistant Director,Mary Soan
11209,Directing,1537558,Assistant Director,Piers Thompson
75490,Directing,1537567,Script Supervisor,Renée Glynne
42261,Directing,1537574,Script Supervisor,Biljana Mirkovic
34794,Directing,564,Director,Richard Linklater
2613,Directing,57691,Director,Tamra Davis
10937,Directing,1400356,Script Supervisor,Sylvie Chesneau
31563,Directing,43468,Director,Guy Ferland
89992,Directing,18378,Director,Herbert Ross
71881,Directing,44990,Director,Peter Horton
52780,Directing,27991,Director,Stuart Gordon
22915,Directing,19969,Director,Pat O'Connor
44412,Directing,1367566,Script Supervisor,Libbie Barr
2302,Directing,19303,Director,Kevin Smith
29492,Directing,25210,Director,Jeremy Leven
43332,Directing,8246,Director,Barry Levinson
14460,Directing,225065,Director,René Bonnière
2453,Directing,12840,Director,John Badham
20704,Directing,58154,Director,Jack Baran
23730,Directing,3556,Director,Roman Polanski
44069,Directing,1288056,Script Supervisor,Sylvette Baudrot
136558,Directing,18596,Director,Taylor Hackford
12484,Directing,7396,Director,Peter Farrelly
18691,Directing,7395,Director,Bobby Farrelly
10613,Directing,58809,Script Supervisor,Martin Kitrosser
11896,Directing,7409,First Assistant Director,J.B. Rogers
1089,Directing,1614,Director,Ang Lee
21468,Directing,56205,Director,Atom Egoyan
22323,Directing,1201,Director,Garry Marshall
24470,Directing,510,Director,Tim Burton
11950,Directing,17217,Assistant Director,Mike Topoozian
10728,Directing,1479807,Script Supervisor,Janna Stern
25690,Directing,1486978,Assistant Director,Gregory Kent Simmons
50031,Directing,8844,Director,Lawrence Kasdan
11713,Directing,7904,Director,Billy Crystal
8835,Directing,148119,Director,Phillip Borsos
25985,Directing,15775,Director,Kevin Lima
58904,Directing,56147,Director,Paul Brizzi
59797,Directing,57090,Director,Brett Leonard
12710,Directing,87695,Director,Carlo Carlei
12702,Directing,67794,Director,Gérard Corbiau
10651,Directing,1566166,Director,Mark Lewis
10141,Directing,129534,Director,Art Clokey
26386,Directing,97755,Director,Charles Burnett
11347,Directing,122449,Director,Steve James
47818,Directing,108,Director,Peter Jackson
9604,Directing,77121,Director,Randall Miller
24266,Directing,57851,Director,Bernard Rose
18197,Directing,32593,Director,Steven Brill
17126,Directing,1203,Director,J. F. Lawton
50203,Directing,64061,Director,Fred Schepisi
45225,Directing,17016,Director,Neil Jordan
