id,name_genres
445,"Mystery,Drama,Thriller"
451,"Drama,Romance"
452,"Drama,Comedy"
453,"Drama,Romance"
454,"Drama,Romance"
455,"Comedy,Drama,Romance"
457,"Comedy,Drama,Romance"
458,"Drama,Comedy,Romance"
459,"Romance,Drama"
460,Comedy
462,Drama
464,"Romance,Drama,Comedy,Music"
465,"Romance,Drama"
466,Mystery
467,"Crime,Drama,Horror,Thriller"
468,"Drama,Romance"
469,"Comedy,Drama"
470,"Drama,Crime,Thriller"
471,Drama
473,"Mystery,Drama,Thriller"
475,"Crime,Drama"
476,"Crime,Drama"
479,"Action,Adventure,Crime,Thriller"
480,"Comedy,Drama,Romance"
481,Drama
482,"Adventure,Action,Thriller,Crime"
483,"Comedy,Crime,Thriller"
488,"Adventure,War,Romance"
489,Drama
490,"Fantasy,Drama"
492,"Fantasy,Drama,Comedy"
493,"Action,Adventure,Crime,Mystery"
494,"Adventure,Action,Thriller,Crime,Mystery"
496,Comedy
497,"Fantasy,Drama,Crime"
499,"Comedy,Drama"
500,"Crime,Thriller"
501,Documentary
502,"Drama,History,Thriller"
503,"Adventure,Action,Drama,Thriller"
504,"Crime,Drama"
505,"Crime,Drama"
506,"Crime,Drama,Mystery,Thriller"
507,"Action,Crime,Drama,Thriller"
508,"Comedy,Romance,Drama"
509,"Romance,Comedy,Drama"
510,Drama
511,Drama
512,"Comedy,Mystery"
513,"Drama,Romance"
521,"Crime,Mystery,Thriller"
522,"Comedy,Drama,History"
523,"Drama,Horror"
524,"Drama,Crime"
525,"Music,Comedy,Action,Crime"
526,"Adventure,Drama,Fantasy,Romance"
527,Drama
530,"Adventure,Animation,Comedy,Science Fiction,Family"
531,"Animation,Comedy,Family"
532,"Family,Animation,Comedy"
533,"Adventure,Animation,Comedy,Family"
534,"Action,Science Fiction,Thriller"
535,"Drama,Music,Romance"
537,"Romance,Drama"
539,"Drama,Horror,Thriller"
540,Action
541,"Crime,Drama,Romance"
542,"Drama,Romance"
543,"Drama,Thriller,Crime"
544,"Romance,Comedy"
546,Drama
547,"Drama,Romance"
548,"Crime,Drama,Mystery"
549,"Drama,History"
550,Drama
551,"Action,Adventure"
552,"Drama,Comedy,Romance"
553,"Crime,Drama,Thriller"
554,"Drama,History,Romance"
557,"Fantasy,Action"
558,"Action,Adventure,Fantasy"
559,"Fantasy,Action,Adventure"
560,"Crime,Drama,Thriller"
561,"Drama,Fantasy,Horror"
562,"Action,Thriller"
563,"Adventure,Action,Thriller,Science Fiction"
564,"Adventure,Action,Fantasy"
565,"Horror,Mystery"
567,"Drama,Mystery,Thriller"
568,Drama
570,Drama
571,Horror
572,"Horror,Mystery,Thriller"
573,"Crime,Drama,Mystery,Thriller"
574,"Adventure,Crime,Drama,Mystery,Thriller"
575,"Drama,Thriller"
576,"Adventure,Western"
577,"Fantasy,Drama,Comedy,Thriller"
578,"Horror,Thriller,Adventure"
579,"Horror,Thriller"
580,"Adventure,Thriller"
581,"Adventure,Drama,Western"
582,"Drama,Thriller"
583,Comedy
584,"Action,Crime,Thriller"
585,"Animation,Comedy,Family"
586,"Comedy,Drama"
587,"Adventure,Fantasy,Drama"
588,"Horror,Mystery"
590,Drama
591,"Thriller,Mystery"
592,"Crime,Drama,Mystery"
593,"Drama,Science Fiction,Adventure,Mystery"
594,"Comedy,Drama"
595,"Crime,Drama"
596,Drama
597,"Drama,Romance,Thriller"
598,"Drama,Crime"
599,Drama
600,"Drama,War"
601,"Science Fiction,Adventure,Family,Fantasy"
602,"Action,Adventure,Science Fiction"
603,"Action,Science Fiction"
604,"Adventure,Action,Thriller,Science Fiction"
605,"Adventure,Action,Thriller,Science Fiction"
606,Drama
607,"Action,Adventure,Comedy,Science Fiction"
608,"Action,Adventure,Comedy,Science Fiction"
609,Horror
612,"Drama,Action,History,Thriller"
613,"Drama,History,War"
614,Drama
615,Drama
616,"Drama,Action,War,History"
617,Thriller
618,"Drama,History,War"
619,"Thriller,Action,Drama,Music,Romance"
620,"Comedy,Fantasy"
621,Romance
622,"Horror,Mystery,Thriller"
623,"Comedy,Crime"
624,"Adventure,Drama"
625,"War,Drama,History"
626,"Drama,Fantasy"
627,"Drama,Crime"
628,"Horror,Romance"
629,"Drama,Crime,Thriller"
630,"Adventure,Family,Fantasy"
631,"Drama,Romance"
632,"Comedy,Drama,War"
633,"Drama,History,Thriller,War"
634,"Comedy,Romance,Drama"
635,"Horror,Mystery,Thriller"
636,"Drama,Mystery,Science Fiction"
637,"Comedy,Drama"
638,"Drama,Thriller,Mystery"
639,"Comedy,Romance,Drama"
640,"Drama,Crime"
641,"Crime,Drama"
642,"History,Drama,Western,Crime"
643,"Drama,History"
644,"Drama,Science Fiction,Adventure"
646,"Adventure,Action,Thriller"
647,"Action,Adventure,Animation,Fantasy"
648,"Drama,Fantasy,Romance"
649,"Drama,Romance"
650,"Crime,Drama"
651,"Comedy,Drama,War"
652,"Adventure,Drama,War"
653,"Fantasy,Horror"
654,"Crime,Drama"
655,Drama
657,"Action,Thriller,Adventure"
658,"Adventure,Action,Thriller"
659,"Drama,History,War"
660,"Adventure,Action,Thriller"
661,"War,Drama"
662,"Romance,Science Fiction"
663,"Horror,Thriller,Crime"
664,"Action,Adventure,Drama"
665,"Action,Adventure,Drama,History"
666,Drama
667,"Action,Thriller,Adventure"
668,"Adventure,Action,Thriller"
669,Documentary
670,"Drama,Thriller,Mystery,Action"
671,"Adventure,Fantasy,Family"
672,"Adventure,Fantasy,Family"
673,"Adventure,Fantasy,Family"
674,"Adventure,Fantasy,Family"
675,"Adventure,Fantasy,Family,Mystery"
676,"History,Romance,War"
677,Documentary
678,"Drama,Mystery,Thriller"
679,"Horror,Action,Thriller,Science Fiction"
680,"Thriller,Crime"
681,"Adventure,Action,Thriller"
682,"Adventure,Action,Thriller"
685,Documentary
686,"Drama,Science Fiction,Mystery"
687,Drama
688,"Drama,Romance"
689,Drama
690,"Crime,Drama"
691,"Adventure,Action,Thriller"
692,"Horror,Comedy,Crime"
693,"Comedy,Romance"
694,"Horror,Thriller"
695,"Comedy,Drama"
696,"Comedy,Drama,Romance"
697,"Documentary,Drama"
698,"Action,Adventure,Thriller,Science Fiction"
699,"Adventure,Action,Thriller"
700,"Adventure,Action,Thriller"
701,"Comedy,Drama,Family"
702,Drama
703,"Comedy,Drama,Romance"
704,"Comedy,Music"
705,Drama
706,"History,Drama"
707,"Adventure,Action,Thriller"
708,"Action,Adventure,Thriller"
709,"Adventure,Action,Thriller"
710,"Adventure,Action,Thriller"
711,Drama
712,"Comedy,Drama,Romance"
713,"Drama,Romance"
714,"Adventure,Action,Thriller"
742,"Drama,Comedy,Romance"
744,"Action,Romance,War"
745,"Mystery,Thriller,Drama"
746,"Drama,History"
747,"Horror,Comedy"
750,"Drama,Crime,Mystery,Comedy"
751,"Drama,Thriller,Crime,Mystery,Comedy"
752,"Action,Thriller,Fantasy"
753,Drama
754,"Action,Crime,Science Fiction,Thriller"
755,"Horror,Action,Thriller,Crime"
756,"Animation,Family,Music"
757,"Drama,Thriller,Crime,Mystery,Comedy"
758,"Drama,Thriller,Crime,Mystery,Comedy"
759,"Comedy,Romance"
760,Comedy
761,Comedy
762,"Adventure,Comedy,Fantasy"
763,"Horror,Comedy"
764,Horror
765,"Horror,Comedy,Fantasy"
766,"Fantasy,Horror,Comedy"
767,"Adventure,Fantasy,Family"
768,"Horror,Mystery,Thriller"
769,"Drama,Crime"
770,"Drama,Romance,War"
771,"Comedy,Family"
772,"Comedy,Family,Adventure,Crime"
773,"Comedy,Drama"
774,Documentary
775,"Adventure,Fantasy,Science Fiction"
776,"Drama,Comedy,Romance"
777,"Drama,History,War"
778,"Comedy,Family"
779,"Drama,Horror"
780,"Drama,History"
781,Drama
782,"Thriller,Science Fiction,Mystery,Romance"
783,"Drama,History"
784,"Music,Drama,Comedy"
786,"Drama,Music"
787,"Action,Comedy,Drama,Thriller"
788,"Comedy,Drama,Family"
789,"Comedy,Drama,War"
790,Horror
791,"Horror,Thriller"
792,"Drama,War,Action"
793,"Crime,Drama,Mystery,Thriller"
794,"Horror,Thriller"
795,"Drama,Fantasy,Romance"
796,"Drama,Romance,Thriller"
797,Drama
798,Drama
799,Family
800,"Crime,Drama"
801,"Comedy,Drama,War"
802,"Drama,Romance"
803,"History,Documentary,War"
804,"Comedy,Romance"
805,"Horror,Drama,Mystery"
806,"Drama,Horror,Thriller"
807,"Crime,Mystery,Thriller"
808,"Adventure,Animation,Comedy,Family,Fantasy"
809,"Adventure,Animation,Comedy,Family,Fantasy"
810,"Fantasy,Adventure,Animation,Comedy,Family"
811,"Adventure,Drama,Science Fiction"
812,"Animation,Family,Comedy,Adventure,Fantasy,Romance"
813,Comedy
814,"Horror,Comedy"
815,"Family,Drama,Comedy"
816,"Science Fiction,Comedy,Crime"
817,"Adventure,Comedy,Crime,Science Fiction"
818,"Comedy,Crime,Science Fiction"
819,"Crime,Drama,Thriller"
820,"Drama,Thriller,History"
821,"Drama,History"
822,"Music,Drama"
823,"Animation,Science Fiction,Thriller"
824,"Drama,Music,Romance"
825,Drama
826,"Drama,History,War"
827,"Drama,Horror,Thriller"
828,"Drama,Science Fiction,Thriller"
829,"Crime,Drama,Mystery,Thriller"
830,"Adventure,Science Fiction,Action"
831,"Mystery,Adventure,Science Fiction,Horror,Thriller"
832,"Drama,Action,Thriller,Crime"
833,Drama
834,"Fantasy,Action,Science Fiction,Thriller"
836,"Drama,Foreign,Romance"
837,"Horror,Mystery,Science Fiction"
838,"Comedy,Drama"
839,"TV Movie,Action,Thriller"
840,"Science Fiction,Drama"
841,"Action,Science Fiction,Adventure"
842,"Drama,History,Thriller"
843,"Drama,Romance"
844,"Fantasy,Drama,Science Fiction,Romance"
845,"Crime,Drama,Thriller"
846,"Mystery,Science Fiction,Thriller"
847,"Adventure,Drama,Action"
848,Fantasy
849,"Fantasy,Action,Adventure"
850,"Comedy,Family"
851,"Drama,Romance"
853,War
854,"Romance,Comedy,Crime,Fantasy"
855,"Action,History,War"
856,"Fantasy,Animation,Comedy,Crime,Family"
857,"Drama,History,War"
858,"Comedy,Drama,Romance"
859,"Drama,Romance"
860,"Thriller,Science Fiction"
861,"Action,Adventure,Science Fiction"
862,"Animation,Comedy,Family"
863,"Animation,Comedy,Family"
864,Comedy
865,"Action,Science Fiction"
866,Drama
867,"Drama,Thriller"
868,"Crime,Drama"
869,"Thriller,Science Fiction,Action,Adventure"
870,"Drama,Romance"
871,"Science Fiction,Adventure,Drama,Action"
872,"Comedy,Music,Romance"
873,Drama
874,"Drama,History"
875,"Romance,Drama"
876,"Action,Adventure,Fantasy,Science Fiction"
877,"Action,Adventure,Crime,Drama,Thriller"
878,Comedy
879,"Adventure,Fantasy,Comedy,Family"
880,"Drama,Comedy"
881,Drama
883,"Comedy,Drama"
884,"Drama,Thriller,Romance"
885,"Drama,Romance"
886,Drama
887,"Drama,History,Romance"
888,"Fantasy,Comedy,Family"
889,"Science Fiction,Comedy,Family,Romance"
890,Drama
891,"Drama,History,Mystery,Thriller"
892,"Comedy,Science Fiction,Fantasy"
895,"Drama,History"
896,Drama
897,Drama
898,Drama
899,"Drama,Romance"
900,"Comedy,Romance"
901,"Comedy,Drama,Romance"
902,"Fantasy,Science Fiction,Adventure"
903,"Crime,Drama"
905,"Drama,Thriller,Romance"
907,"Drama,Romance,War"
909,"Comedy,Music,Romance"
910,"Crime,Drama,Mystery,Thriller"
911,Comedy
912,"Romance,Crime,Thriller,Drama"
913,"Drama,Crime,Romance"
914,Comedy
916,"Action,Crime,Drama,Thriller"
917,Drama
918,"Comedy,Romance"
919,"Fantasy,Animation,Horror,Comedy,Thriller,Science Fiction"
920,"Animation,Adventure,Comedy,Family"
921,"Romance,Drama,History"
922,"Drama,Fantasy,Western"
923,Horror
924,"Fantasy,Horror,Action"
925,Drama
926,"Comedy,Family,Science Fiction"
927,"Fantasy,Horror,Comedy"
