id_original,name
102517,Manny Rodriguez
102524,Roberto Rossellini
102526,Richard Thorpe
102527,Jari Kokko
10253,Shim Hyung-Rae
102533,Sólveig Anspach
102534,Zaida Bergroth
10254,Panna Rittikrai
102541,Alfred Santell
10257,"Corey Yuen Kwai,Patrick Leung"
10258,Gary Trousdale
102596,"Jonathan Gruber,Ari Daniel Pinchot"
102597,Robert Aldrich
10260,Claude Zidi
10261,Blake Edwards
102622,Tim Kirkby
102629,Eduardo Rodríguez
10263,Jeremy Haft
102630,Eduardo Rodríguez
102632,Prabhu Deva
102639,Dustin Lance Black
10264,Franco Zeffirelli
102640,Nancy Savoca
10265,Jingle Ma
102651,Robert Stromberg
102668,Cameron Casey
10268,Isabelle Mergault
10269,Barbra Streisand
102691,Werner Herzog
102699,Elia Kazan
10270,Johannes Jaeger
102707,Edgar Neville
10271,Laurent Tirard
10272,Nick Stillwell
102732,Roberto Benabib
10274,Harvey Kahn
102743,Lawrence Michael Levine
10275,Cheung Yam-Yim
10276,Frank Oz
10278,Joseph Ruben
102780,Neil Jordan
102784,Afonso Poyart
10279,Spike Lee
10280,Tom Holland
102807,Denis Côté
102809,Weikai Huang
10281,John Carl Buechler
102812,Francine Parker
102814,Malcolm Leo
10283,Rob Hedden
102831,Wendell B. Harris
102841,Joan Rivers
10285,Adam Marcus
102851,Seyyed Reza Mir-Karimi
102855,Ramona S. Diaz
102858,"Harmony Korine,Aleksey Fedorchenko,Jan Kwiecinski"
102860,Julia Murat
102862,Jamie Meltzer
102867,"Elizabeth Mims,Jason Tippet"
102870,Filippos Tsitos
102871,Rolando Colla
102873,Victor Kossakovsky
102878,Seth Zvi Rosenfeld
10288,Andrew Currie
102899,Peyton Reed
102901,Benito Perojo
102909,Ian Barry
102913,Erik Løchen
10292,Mary Lambert
10293,Éric Rohmer
102931,Peter Markle
102933,Allison Anders
102935,Rebecca Richman Cohen
102938,Richard T. Heffron
10294,Nimród Antal
102947,Armand Mastroianni
102949,Duccio Tessari
102959,Mario Siciliano
10296,Nick Love
102961,Andy Sidaris
10297,Jean Negulesco
10299,Robert Aldrich
103,Martin Scorsese
103012,Avie Luthra
103014,Nick Castle
10303,Lewis Teague
10304,Phil Tippett
103048,Rajkumar Santoshi
10305,Claude Chabrol
10306,Gary Sherman
103066,Shôichirô Masumoto
103067,Maurizio Lucidi
10307,Rupert Wainwright
103073,Govind Nihalani
10308,"Rainer Werner Fassbinder,Michael Fengler"
103081,Tim Fywell
10309,Rainer Werner Fassbinder
10310,Rainer Werner Fassbinder
10311,Rainer Werner Fassbinder
103119,Robert Wise
10312,Tom Shadyac
103122,Marino Girolami
10313,Grant Heslov
10314,Robert Iscove
10315,Wes Anderson
10316,George Clooney
103161,Robert Greene
103162,Robert B. Weide
103164,John Farrow
103168,George Archainbaud
10317,David Gordon Green
103173,Fumihiko Sori
103181,Lonny Price
10319,Werner Herzog
103194,"David Krentz,Erik Nelson"
103195,Martin Witz
103198,Linda Otto
103199,Ismael Rodríguez
10320,Hideo Nakata
103201,Mark L. Lester
103203,"Ousmane Sembene,Thierno Faty Sow"
103205,Robert Stevens
103210,Lewis Teague
103212,Mahesh Manjrekar
103215,Klaartje Quirijns
103216,Mario Monicelli
103218,Emidio Greco
10322,Hal Ashby
10323,Desmond Davis
103236,Prakash Mehra
10324,Eric Schaeffer
103243,Shoojit Sircar
10326,Steve Miner
103260,Peter Baldwin
103269,Michael Chang
10327,Charles Herman-Wurmfeld
10328,Ron Howard
10329,Frank Marshall
103299,Andy Wolk
10330,Mark Waters
103301,Anatoly Eyramdzhan
103307,Anatoly Eyramdzhan
10331,George A. Romero
103328,Leos Carax
10333,Barbra Streisand
103332,"Jonathan Dayton,Valerie Faris"
103344,Arnaud Lemort
10336,Mark A.Z. Dippé
10337,Barry Levinson
103370,Tyler Perry
10338,Ken Annakin
10339,John Huston
103396,Robert Siodmak
10340,"Hamilton Luske,Wilfred Jackson,Clyde Geronimi"
10341,Wim Wenders
103413,Chris Menges
10342,Kevin Williamson
103425,"Linda Hawkins,Linda Goldstein Knowlton"
103432,Richard T. Heffron
103433,Leigh Scott
10344,Chris Walas
10345,Rod Daniel
103462,"Kristín Björk Kristjánsdóttir,Orri Jónsson,Ingibjörg Birgisdóttir"
10347,Jan Kounen
103475,Wim Wenders
10348,Gordon Chan
103488,Ben Stassen
10349,George A. Romero
10350,Christopher Roberts
103502,Anne Émond
10351,Robert Kurtzman
103516,Alan Brown
103528,Rebecca Cammisa
10353,Jean-Marie Poiré
103539,Ermek Tursunov
10354,Clint Eastwood
10355,Kang Je-gyu
10356,Lewin Webb
10357,Mick Jackson
103578,Norman J. Warren
10358,Kevin Smith
103590,Sergei Parajanov
103597,Mathieu Demy
10360,Steve McQueen
103601,Penelope Spheeris
10361,Brett Sullivan
103612,Daniel Mann
103613,"Jean-Luc Godard,Philippe de Broca,Claude Autant-Lara,Mauro Bolognini,Franco Indovina,Michael Pfleghar"
10362,James Gray
103620,Franck Khalfoun
10363,René Clément
103635,Robert Malenfant
10364,Mike Nichols
103640,Habib Faisal
103648,Daniel Petrie
10366,Mic Rodgers
103663,Thomas Vinterberg
103667,Emil Chiaberi
103668,"Fenton Bailey,Randy Barbato"
103675,Christian Duguay
103678,Duccio Tessari
10368,Franco Zeffirelli
103686,Ulrich Seidl
103688,Neill Fearnley
103689,Carlos Reygadas
10370,Olaf Ittenbach
103701,Manoel de Oliveira
103706,Steve Previn
103707,Mike Clattenburg
10371,Bryan Spicer
103711,Vincent McEveety
103713,Mike Corbera
103717,Alain Resnais
10372,"Jim Wheat,Ken Wheat"
10373,Franc Roddam
103731,Jeff Nichols
103732,Brett Whitcomb
103734,Angad Bhalla
103740,Cristian Mungiu
103742,Sergey Loznitsa
103745,Mika Kaurismäki
103747,Ken Loach
10375,Jim Gillespie
103750,Im Sang-soo
103751,Timo Koivusalo
103753,Hong Sang-soo
103758,Matteo Garrone
10376,Giuseppe Tornatore
10377,Jonathan Lynn
10378,Sacha Goedegebure
103785,Ahmet Uluçay
10379,Ate de Jong
103793,Patrice Toye
10380,"Phil Nibbelink,Simon Wells"
10381,Jake Scott
10383,Janusz Kamiński
10384,"Walter Hill,Jack Sholder"
10385,Diane Keaton
103850,Don Schain
103851,Donald G. Jackson
10386,Brad Bird
10387,Chen Kaige
103875,Lou Ye
10388,Steven Soderbergh
10389,"Danny Pang,Oxide Pang Chun"
103894,Alexander Gentelev
1039,Stefan Ruzowitzky
10390,Sam Raimi
103902,Peter Duncan
10391,Chuck Russell
10393,Howard Deutch
103934,Robert Z. Leonard
103938,"Howard Hawks,Richard Rosson"
10394,Paul McGuigan
103941,José María Forqué
103947,Nuno Rocha
10395,Mike Nichols
103953,Kiyoshi Kurosawa
10396,Robert Towne
103960,Renny Harlin
10397,Alan Parker
103970,"Mike Stoklasa,Jay Bauman"
103972,Frederikke Aspöck
10398,Bruce Beresford
10399,Patricia Rozema
104,Tom Tykwer
1040,Luchino Visconti
10400,Norman Jewison
10401,Patrice Leconte
10402,Mike Mitchell
10403,Robert Altman
10404,Zhang Yimou
104041,Daniel Petrie
104043,Marisa Silver
104044,Donald G. Jackson
10406,Les Mayfield
104062,Rúnar Rúnarsson
104067,D.W. Griffith
10407,Frank Oz
10408,Dick Maas
104081,Eduardo Mignogna
104083,Stuart Heisler
104086,"Georges Perec,Bernard Queysanne"
10409,Baz Luhrmann
10410,Danny DeVito
104103,Martine Dugowson
104106,Marcos Zurinaga
104108,Sean Dillon
10411,Jonathan Lynn
10412,Geoffrey Wright
